ipid;linie;km_go;tunnelname;tunnelsystem;inbetrieb_nahmejahr;koordinate_e;koordinate_n;geopos;kanton
1277988.0;100;3.689;Tunnel de Paudex ( 026 );1-Röhre / 2-Spuren;1999;2541317.27;1150997.211;46.5077013157, 6.67407851063;Vaud
13609055.0;150;61.456;Tunnel de St-Jean;Andere > 1 Röhre Mehrspur;1995;2498959.598;1118049.24;46.2062942916, 6.12946561767;Genève
15125686.0;152;73.103;Halte Chêne-Bourg;1-Röhre / 2-Spuren;2019;1116820.935;2504167.03;56.5373320171, -16.6676793939;
1432242.0;210;51.286;Tunnel de Fin de Lance (099);1-Röhre / 2-Spuren;2000;2545856.962;1189440.746;46.8538887377, 6.72868019654;Vaud
4569549.0;210;22.061;Tunnel du Mormont nord 4;1-Röhre / 1-Spur;2010;2532108.343;1168379.365;46.6631814131, 6.55154236797;Vaud
1401773.0;219;14.688;Tunnel du Bois-de-Ban (018);1-Röhre / 1-Spur;1860;2548587.786;1200767.239;46.9559865908, 6.76320525069;Neuchâtel
1132077.0;224;28.752;Tunnel de Combe (Convers, 006);1-Röhre / 1-Spur;1858;2554110.904;1216610.007;47.0988942819, 6.83415489069;Neuchâtel
1277974.0;225;37.973;Tunnel de Taubenloch 1 ( 039 );1-Röhre / 1-Spur;1874;2586624.874;1223242.102;47.160008381, 7.26224487265;Bern
1075188.0;225;40.349;Tunnel de Taubenloch 5 ( 043 );1-Röhre / 1-Spur;1874;2585482.089;1225126.914;47.1769375313, 7.24711348973;Bern
513175.0;226;70.564;Tunnel de la Verrerie (068);1-Röhre / 1-Spur;1877;2593771.449;1234923.737;47.2651874811, 7.35632627431;Bern
513248.0;226;74.721;Tunnel de Moutier 6 (053);1-Röhre / 1-Spur;1876;2595565.871;1237860.309;47.2916151991, 7.38000724886;Bern
617238.0;230;94.916;Liesbergtunnel;1-Röhre / 1-Spur;1875;2600557.491;1250202.751;47.4026424513, 7.446009715;Basel-Landschaft
1075172.0;240;100.582;Tunnel de Malvie ( 065 );1-Röhre / 1-Spur;1877;2579942.77;1245514.784;47.3601702471, 7.17312726755;Jura
272204.0;251;33.809;Tunnel de Villangeaux (047);1-Röhre / 2-Spuren;1876;2551743.599;1165399.566;46.6380890347, 6.80840330481;Fribourg
